"","shapeID","adm_pop"
"218","1004716B69016547634198",9129.51642873445
"219","1004716B69176908795082",10669.1052452487
"220","1004716B69755692958912",13879.8179429329
"221","1004716B70540306001551",38378.8947557352
"222","1004716B73222329493387",38274.6145481314
"223","1004716B73686140386130",46176.3411763629
"224","1004716B75081845328431",9558.49639282453
"225","1004716B75188103364632",59690.361905992
"226","1004716B7540318748953",11166.3890300759
"227","1004716B75632555635080",33031.3812088149
"228","1004716B76104537759398",6423.8318967862
"229","1004716B76428699695737",17957.9054373203
"230","1004716B76497649402022",25097.1661132927
"231","1004716B76724333569498",15941.0480178689
"232","1004716B77108235985469",17406.6183340937
"233","1004716B77754664653503",13154.6817392366
"234","1004716B78226136853843",42979.982507831
"235","1004716B78896367907515",3274.82607265373
"236","1004716B80343158927889",12703.9317066405
"237","1004716B80493320334712",34031.3078916357
"238","1004716B80689384064512",18125.4618282167
"239","1004716B8103194672097",67835.6430587039
"240","1004716B81198571450943",33537.7461120937
"241","1004716B81885573908031",36797.3192649205
"242","1004716B82314405656204",54494.6356097887
"243","1004716B82609428709208",8057.64264285836
"244","1004716B82788315427731",31089.9745176574
"245","1004716B82888371591371",161102.984851252
"246","1004716B83781631297987",15832.9482936434
"247","1004716B83973751010428",8429.34132105244
"248","1004716B84581275019273",5109.26299157198
"249","1004716B8461244820231",11890.7331534263
"250","1004716B85361767626359",14949.0661732634
"251","1004716B85519023744244",87252.4476346196
"252","1004716B86091214063878",44920.3965167576
"253","1004716B87721253987704",159890.424172738
"254","1004716B87872179311194",37191.118097563
"255","1004716B88146525793378",23555.0574936046
"256","1004716B88465626823892",47227.3385405717
"257","1004716B88505834595932",35503.0215405629
"258","1004716B9004620436868",5780.00744669476
"259","1004716B90224311807252",16844.1771754402
"260","1004716B91399694285767",10179.8534420751
"261","1004716B91452686673321",8076.08617821733
"262","1004716B91684514747907",56370.066548619
"263","1004716B94651334024859",6415.48587909055
"264","1004716B95201351767223",38029.8319772966
"265","1004716B95352510191818",12607.6100390836
"266","1004716B96121368204860",25738.1230627933
"267","1004716B97490188129445",26152.8508024473
"268","1004716B97835043719515",17834.6812789937
"269","1004716B98313064972178",23065.4070528785
"270","1004716B9870414897994",7256.36778318311
"271","1004716B99280439905911",76254.6697861219
"272","1004716B99865262372177",24693.0240054961
"273","10190150B13703090222147",175718.72726607
"274","10190150B14310189929045",5.28333616753419
"275","10190150B14895102239013",12104.4574288776
"276","10190150B1660542161476",35075.0959511563
"277","10190150B19279847457631",617038.733732412
"278","10190150B20893258254384",81452.3014707072
"279","10190150B21853413573592",121613.806928782
"280","10190150B22032040795574",85248.0391330138
"281","10190150B2260035962137",150029.689848441
"282","10190150B25855408224134",21737.0570997823
"283","10190150B29958547271775",68755.2120052788
"284","10190150B31923585689840",1052014.63359973
"285","10190150B33098588070062",53270.9910669643
"286","10190150B33787597924926",53217.466432167
"287","10190150B40000077655635",80804.0955155796
"288","10190150B42989304972975",28381.41436497
"289","10190150B43473123823457",49480.676533017
"290","10190150B43921321162948",95507.8722699144
"291","10190150B47051626377462",27485.6226302365
"292","10190150B47066979897930",94342.5505900188
"293","10190150B49022220136906",150416.664059903
"294","10190150B49648436133803",48056.1403175527
"295","10190150B50164786179090",36664.7269027944
"296","10190150B50405020357004",59775.3105301731
"297","10190150B53844356403959",133384.265629089
"298","10190150B55240389541589",244483.758108816
"299","10190150B5540422332593",94571.5329236939
"300","10190150B57236240934442",276099.241034879
"301","10190150B64529450546528",77637.2481681312
"302","10190150B68029188897987",805.260230333521
"303","10190150B71181095534415",92227.8683127474
"304","10190150B73073283057167",193063.357920454
"305","10190150B73322470423680",109820.951701173
"306","10190150B74382957458545",3487.19072707548
"307","10190150B75003432350729",99048.707726889
"308","10190150B7816159308361",11787.3759547239
"309","10190150B78263811448824",246.386161605527
"310","10190150B8136820559785",2834.15822896309
"311","10190150B82365313393871",81849.446274659
"312","10190150B84447090793547",99726.9928499575
"313","10190150B850620817547",80933.1597329405
"314","10190150B85284171000924",110222.289158868
"315","10190150B87050240782827",155522.340506257
"316","10190150B87689177497329",135494.997309127
"317","10190150B88624562206856",133063.062822644
"318","10190150B91732086642718",124035.560933438
"319","10190150B96789976776616",44613.9175846714
"320","10800210B15874653580067",664335.90253477
